[INFO 2017-09-30 15:11:14,682 demo.py:215] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, data='robot64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=4, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-30 15:11:21,310 demo.py:73] epoch 0, train loss: 58804.39, average train loss: 58804.39, base loss: 13581.15
[INFO 2017-09-30 15:11:23,103 demo.py:73] epoch 1, train loss: 52702.68, average train loss: 55753.54, base loss: 13394.72
[INFO 2017-09-30 15:11:24,948 demo.py:73] epoch 2, train loss: 48089.41, average train loss: 53198.83, base loss: 13072.23
[INFO 2017-09-30 15:11:26,793 demo.py:73] epoch 3, train loss: 42212.43, average train loss: 50452.23, base loss: 13138.67
[INFO 2017-09-30 15:11:28,429 demo.py:73] epoch 4, train loss: 39428.36, average train loss: 48247.46, base loss: 12939.06
[INFO 2017-09-30 15:11:30,437 demo.py:73] epoch 5, train loss: 36314.71, average train loss: 46258.66, base loss: 12858.14
[INFO 2017-09-30 15:11:32,299 demo.py:73] epoch 6, train loss: 33473.92, average train loss: 44432.27, base loss: 12783.89
[INFO 2017-09-30 15:11:34,342 demo.py:73] epoch 7, train loss: 31392.87, average train loss: 42802.35, base loss: 12772.58
[INFO 2017-09-30 15:11:36,362 demo.py:73] epoch 8, train loss: 29765.76, average train loss: 41353.84, base loss: 12686.65
[INFO 2017-09-30 15:11:38,227 demo.py:73] epoch 9, train loss: 28587.18, average train loss: 40077.17, base loss: 12726.79
[INFO 2017-09-30 15:11:40,225 demo.py:73] epoch 10, train loss: 26996.78, average train loss: 38888.04, base loss: 12674.67
[INFO 2017-09-30 15:11:42,122 demo.py:73] epoch 11, train loss: 25480.36, average train loss: 37770.74, base loss: 12648.12
[INFO 2017-09-30 15:11:43,931 demo.py:73] epoch 12, train loss: 23547.56, average train loss: 36676.65, base loss: 12584.25
[INFO 2017-09-30 15:11:46,056 demo.py:73] epoch 13, train loss: 23119.64, average train loss: 35708.29, base loss: 12577.32
[INFO 2017-09-30 15:11:48,197 demo.py:73] epoch 14, train loss: 21762.46, average train loss: 34778.57, base loss: 12522.16
[INFO 2017-09-30 15:11:50,153 demo.py:73] epoch 15, train loss: 21127.34, average train loss: 33925.36, base loss: 12530.55
[INFO 2017-09-30 15:11:51,945 demo.py:73] epoch 16, train loss: 20786.27, average train loss: 33152.48, base loss: 12595.87
[INFO 2017-09-30 15:11:53,838 demo.py:73] epoch 17, train loss: 19873.28, average train loss: 32414.74, base loss: 12626.45
[INFO 2017-09-30 15:11:55,769 demo.py:73] epoch 18, train loss: 19052.21, average train loss: 31711.45, base loss: 12636.31
[INFO 2017-09-30 15:11:57,419 demo.py:73] epoch 19, train loss: 17728.06, average train loss: 31012.28, base loss: 12613.43
[INFO 2017-09-30 15:11:59,446 demo.py:73] epoch 20, train loss: 17220.62, average train loss: 30355.54, base loss: 12581.90
[INFO 2017-09-30 15:12:01,329 demo.py:73] epoch 21, train loss: 17301.23, average train loss: 29762.16, base loss: 12607.99
[INFO 2017-09-30 15:12:03,184 demo.py:73] epoch 22, train loss: 15684.33, average train loss: 29150.08, base loss: 12568.61
[INFO 2017-09-30 15:12:05,026 demo.py:73] epoch 23, train loss: 16654.01, average train loss: 28629.41, base loss: 12615.90
