[INFO 2017-11-03 18:48:28,048 demo.py:279] Namespace(augment_reverse=True, batch_size=32, bg_move=False, bg_noise=0.5, data='robot128', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=128, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, rand_noise=0, save_dir='./', save_display=False, save_display_dir='./', save_interval=100, seed=111, test=False, test_all=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=4000)
[INFO 2017-11-03 18:48:34,737 demo.py:88] epoch 0, train loss: 116681.27, average train loss: 116681.27, base loss: 52273.23
[INFO 2017-11-03 18:48:36,488 demo.py:88] epoch 1, train loss: 108238.39, average train loss: 112459.83, base loss: 53681.99
[INFO 2017-11-03 18:48:38,269 demo.py:88] epoch 2, train loss: 99459.34, average train loss: 108126.34, base loss: 53677.15
[INFO 2017-11-03 18:48:40,066 demo.py:88] epoch 3, train loss: 98077.20, average train loss: 105614.05, base loss: 53455.79
[INFO 2017-11-03 18:48:42,053 demo.py:88] epoch 4, train loss: 98344.03, average train loss: 104160.05, base loss: 52763.60
[INFO 2017-11-03 18:48:44,211 demo.py:88] epoch 5, train loss: 89872.53, average train loss: 101778.80, base loss: 52481.38
[INFO 2017-11-03 18:48:46,365 demo.py:88] epoch 6, train loss: 94076.12, average train loss: 100678.41, base loss: 52720.01
[INFO 2017-11-03 18:48:48,566 demo.py:88] epoch 7, train loss: 89700.44, average train loss: 99306.17, base loss: 52839.26
[INFO 2017-11-03 18:48:50,828 demo.py:88] epoch 8, train loss: 86758.30, average train loss: 97911.96, base loss: 52874.28
[INFO 2017-11-03 18:48:52,992 demo.py:88] epoch 9, train loss: 86052.19, average train loss: 96725.98, base loss: 53038.10
[INFO 2017-11-03 18:48:55,137 demo.py:88] epoch 10, train loss: 81751.95, average train loss: 95364.71, base loss: 52660.80
[INFO 2017-11-03 18:48:57,288 demo.py:88] epoch 11, train loss: 81621.76, average train loss: 94219.46, base loss: 52437.44
[INFO 2017-11-03 18:48:59,460 demo.py:88] epoch 12, train loss: 82486.95, average train loss: 93316.96, base loss: 52618.09
[INFO 2017-11-03 18:49:01,621 demo.py:88] epoch 13, train loss: 81861.03, average train loss: 92498.68, base loss: 52715.10
[INFO 2017-11-03 18:49:03,758 demo.py:88] epoch 14, train loss: 78229.36, average train loss: 91547.39, base loss: 52653.73
[INFO 2017-11-03 18:49:05,911 demo.py:88] epoch 15, train loss: 78740.14, average train loss: 90746.94, base loss: 52637.68
[INFO 2017-11-03 18:49:08,065 demo.py:88] epoch 16, train loss: 77532.66, average train loss: 89969.63, base loss: 52496.72
[INFO 2017-11-03 18:49:10,244 demo.py:88] epoch 17, train loss: 75208.25, average train loss: 89149.55, base loss: 52509.09
[INFO 2017-11-03 18:49:12,445 demo.py:88] epoch 18, train loss: 76493.63, average train loss: 88483.45, base loss: 52774.41
[INFO 2017-11-03 18:49:14,625 demo.py:88] epoch 19, train loss: 73464.27, average train loss: 87732.49, base loss: 52864.18
[INFO 2017-11-03 18:49:16,825 demo.py:88] epoch 20, train loss: 73014.56, average train loss: 87031.64, base loss: 52733.61
[INFO 2017-11-03 18:49:18,962 demo.py:88] epoch 21, train loss: 70264.30, average train loss: 86269.49, base loss: 52658.38
[INFO 2017-11-03 18:49:21,167 demo.py:88] epoch 22, train loss: 67332.89, average train loss: 85446.16, base loss: 52564.74
[INFO 2017-11-03 18:49:23,335 demo.py:88] epoch 23, train loss: 70802.52, average train loss: 84836.00, base loss: 52571.36
[INFO 2017-11-03 18:49:25,524 demo.py:88] epoch 24, train loss: 68842.00, average train loss: 84196.24, base loss: 52561.79
[INFO 2017-11-03 18:49:27,689 demo.py:88] epoch 25, train loss: 69727.27, average train loss: 83639.74, base loss: 52675.44
